size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.5,-1.0,1.05,24,11.480225801467896,1.435028225183487,0.9238714387939764,"[0.9396347999572754, 1.3156232833862305, 0.26820898056030273, 1.3437929153442383, 1.6106078624725342, 2.5955300331115723, 3.0593619346618652, 0.34746599197387695]"
2.0,1.0,1.4,27,7.752528667449951,0.8613920741611056,0.2555055093652588,"[0.8196790218353271, 0.7075109481811523, 0.4596879482269287, 0.6515200138092041, 0.9634618759155273, 1.3076410293579102, 0.7875766754150391, 0.8199071884155273, 1.235543966293335]"
4.0,1.0,2.8,30,6.5306477546691895,0.653064775466919,0.24213298051294088,"[0.4515101909637451, 0.9323770999908447, 0.826854944229126, 1.018427848815918, 0.7155611515045166, 0.5796489715576172, 0.5795619487762451, 0.47554779052734375, 0.78761887550354, 0.16353893280029297]"
0.5,1.0,0.35,18,5.049773454666138,0.841628909111023,0.37910252120968196,"[0.33956408500671387, 0.41167426109313965, 0.6993288993835449, 1.107102870941162, 1.1846473217010498, 1.3074560165405273]"
2.0,-1.0,1.4,24,7.607205152511597,0.9509006440639496,0.43553545502000446,"[1.2273390293121338, 1.3448851108551025, 0.8276216983795166, 0.6824910640716553, 0.6818380355834961, 1.4431140422821045, 1.315601110458374, 0.08431506156921387]"
4.0,-1.0,2.8,18,4.7370500564575195,0.7895083427429199,0.45451802753977727,"[1.7471599578857422, 0.8491590023040771, 0.6372828483581543, 0.651611328125, 0.504281759262085, 0.34755516052246094]"
1.5,1.0,1.05,24,12.588246583938599,1.5735308229923248,0.7222802224733191,"[1.315479040145874, 0.9715976715087891, 1.0363168716430664, 1.2516567707061768, 3.1796047687530518, 2.034593105316162, 0.8996152877807617, 1.8993830680847168]"
1.0,1.0,0.7,27,10.773479700088501,1.1970533000098333,0.7091765642003359,"[1.3871150016784668, 2.1948800086975098, 2.243467092514038, 1.2355098724365234, 0.6584410667419434, 1.5556449890136719, 1.0756919384002686, 0.1075448989868164, 0.3151848316192627]"
0.5,-1.0,0.35,18,4.229369163513184,0.7048948605855306,0.4686729273316118,"[1.5554931163787842, 0.9556200504302979, 0.2356710433959961, 0.40369606018066406, 0.25142884254455566, 0.8274600505828857]"
1.0,-1.0,0.7,24,14.86132526397705,1.8576656579971313,0.7930959560355685,"[0.4435539245605469, 3.067354202270508, 1.8670740127563477, 2.0596039295196533, 2.8833959102630615, 1.2352912425994873, 1.6053740978240967, 1.6996779441833496]"
